Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,773804,-,-,-,44.85,-93.46,0,263,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.4
Year,Month,Day,Hour,Minute,GHI,Dew Point,Temperature,Wind Direction,Wind Speed,Pressure
2008,1,9,1,30,0,-8.6,-7.9,313,3.3000000000000003,982
2008,1,9,2,30,0,-9.8,-8.9,313,3.3000000000000003,983
2008,1,9,3,30,0,-10.8,-9.8,311,3.2,983
2008,1,9,4,30,0,-11.700000000000001,-10.600000000000001,309,3.1,983
2008,1,9,5,30,0,-12.5,-11.3,305,3,983
2008,1,9,6,30,0,-13.200000000000001,-11.9,301,2.8000000000000003,984
2008,1,9,7,30,0,-13.8,-12.5,299,2.5,984
2008,1,9,8,30,0,-14.100000000000001,-13,298,2.4000000000000004,984
2008,1,9,9,30,0,-14.3,-13.4,300,2.3000000000000003,984
2008,1,9,10,30,0,-14.3,-13.4,307,2.1,985
2008,1,9,11,30,0,-14.200000000000001,-13.100000000000001,320,1.8,985
2008,1,9,12,30,0,-13.9,-12.8,166,1.5,985
2008,1,9,13,30,0,-13.8,-12.4,26,1.2000000000000002,986
2008,1,9,14,30,45,-13.600000000000001,-11.5,71,1.4000000000000001,986
2008,1,9,15,30,125,-12.600000000000001,-9.8,104,1.9000000000000001,986
2008,1,9,16,30,202,-11.100000000000001,-7.800000000000001,125,2.3000000000000003,986
2008,1,9,17,30,238,-9.5,-5.7,135,2.7,986
2008,1,9,18,30,220,-7.7,-3.8000000000000003,135,3,985
2008,1,9,19,30,164,-6.1000000000000005,-2.5,127,3.2,985
2008,1,9,20,30,176,-5,-2.1,117,3.3000000000000003,984
2008,1,9,21,30,94,-4.6000000000000005,-2.7,113,3.6,984
2008,1,9,22,30,14,-5,-3.5,116,3.9000000000000004,983
2008,1,9,23,30,0,-5.4,-3.9000000000000004,119,4.1000000000000005,983
2008,1,10,0,30,0,-5.5,-4.3,127,4.4,983
2008,1,10,1,30,0,-5.5,-4.4,132,4.3,983
2008,1,10,2,30,0,-5.5,-4.5,138,4,982
2008,1,10,3,30,0,-5.6000000000000005,-4.4,141,3.8000000000000003,982
2008,1,10,4,30,0,-5.5,-4.1000000000000005,143,3.7,982
2008,1,10,5,30,0,-5.300000000000001,-3.8000000000000003,144,3.6,982
2008,1,10,6,30,0,-5.1000000000000005,-3.6,144,3.4000000000000004,981
2008,1,10,7,30,0,-5,-3.5,145,3.3000000000000003,981
2008,1,10,8,30,0,-4.9,-3.5,144,3,981
2008,1,10,9,30,0,-4.800000000000001,-3.5,139,2.6,980
2008,1,10,10,30,0,-4.800000000000001,-3.7,133,2.5,979
2008,1,10,11,30,0,-4.9,-3.8000000000000003,129,2.5,979
2008,1,10,12,30,0,-5.1000000000000005,-4,128,2.4000000000000004,978
2008,1,10,13,30,0,-5.2,-3.9000000000000004,127,2.5,978
2008,1,10,14,30,21,-5,-3.5,127,2.6,978
2008,1,10,15,30,114,-4.4,-2.8000000000000003,125,2.6,977
2008,1,10,16,30,24,-3.9000000000000004,-2.1,121,2,977
2008,1,10,17,30,94,-3.3000000000000003,-1.4000000000000001,80,1.2000000000000002,975
2008,1,10,18,30,36,-2.6,-0.7000000000000001,190,1,975
2008,1,10,19,30,67,-2.2,-0.4,344,1.6,974
2008,1,10,20,30,92,-2.1,-0.6000000000000001,352,2,974
2008,1,10,21,30,61,-2.1,-1.2000000000000002,179,1.8,974
2008,1,10,22,30,10,-2.7,-2.1,177,1.6,975
2008,1,10,23,30,0,-3.4000000000000004,-2.5,353,1.7000000000000002,975
2008,1,11,0,30,0,-3.9000000000000004,-3.3000000000000003,338,2.6,974
2008,1,11,1,30,0,-4.6000000000000005,-3.8000000000000003,333,3.2,974
2008,1,11,2,30,0,-5.2,-4.4,329,3.7,974
2008,1,11,3,30,0,-5.9,-5.2,327,3.8000000000000003,974
2008,1,11,4,30,0,-7,-6.4,326,3.7,973
2008,1,11,5,30,0,-8.3,-7.5,324,3.9000000000000004,974
2008,1,11,6,30,0,-9.5,-8.4,322,4.1000000000000005,974
2008,1,11,7,30,0,-10.5,-9.200000000000001,319,4,974
2008,1,11,8,30,0,-11.4,-9.9,316,3.7,974
2008,1,11,9,30,0,-12.3,-10.5,311,3.3000000000000003,974
2008,1,11,10,30,0,-13,-10.8,307,3.1,975
2008,1,11,11,30,0,-13.200000000000001,-10.700000000000001,306,2.9000000000000004,975
2008,1,11,12,30,0,-13.200000000000001,-10.700000000000001,305,2.7,975
2008,1,11,13,30,0,-13.4,-10.5,303,2.5,975
2008,1,11,14,30,67,-12.8,-9.1,301,2.6,975
2008,1,11,15,30,104,-11.100000000000001,-7.300000000000001,299,2.9000000000000004,975
2008,1,11,16,30,62,-9.700000000000001,-6,298,2.9000000000000004,975
2008,1,11,17,30,173,-8.5,-5,297,2.7,975
2008,1,11,18,30,140,-7.800000000000001,-4.6000000000000005,297,2.4000000000000004,975
2008,1,11,19,30,146,-7.4,-4.4,299,2,976
2008,1,11,20,30,101,-7.300000000000001,-4.5,303,1.6,976
2008,1,11,21,30,49,-7.2,-5,318,1,977
2008,1,11,22,30,11,-7.800000000000001,-5.7,344,0.7000000000000001,977
2008,1,11,23,30,0,-8.4,-6,358,0.7000000000000001,977
2008,1,12,0,30,0,-8.4,-6.4,26,0.6000000000000001,978
2008,1,12,1,30,0,-8.4,-6.6000000000000005,43,0.6000000000000001,979
2008,1,12,2,30,0,-8.4,-6.800000000000001,45,0.7000000000000001,979
2008,1,12,3,30,0,-8.4,-7,36,0.9,979
2008,1,12,4,30,0,-8.6,-7.5,28,1.3,979
2008,1,12,5,30,0,-9.1,-8,23,1.7000000000000002,980
2008,1,12,6,30,0,-9.5,-8.3,20,2,980
2008,1,12,7,30,0,-9.600000000000001,-8.4,20,2.2,981
2008,1,12,8,30,0,-9.8,-8.5,19,2.1,982
2008,1,12,9,30,0,-10.200000000000001,-8.8,15,1.9000000000000001,982
2008,1,12,10,30,0,-10.8,-9.4,7,1.9000000000000001,983
2008,1,12,11,30,0,-11.600000000000001,-9.9,181,2.1,983
2008,1,12,12,30,0,-12.200000000000001,-10.200000000000001,358,2.3000000000000003,984
2008,1,12,13,30,0,-12.600000000000001,-10.100000000000001,356,2.5,985
2008,1,12,14,30,36,-12.4,-9.200000000000001,355,2.8000000000000003,985
2008,1,12,15,30,113,-11.200000000000001,-7.7,354,3,986
2008,1,12,16,30,101,-9.9,-6.1000000000000005,355,3,986
2008,1,12,17,30,74,-8.3,-4.5,354,3.1,986
2008,1,12,18,30,206,-7.4,-3.5,349,3.1,985
2008,1,12,19,30,383,-7,-3,343,3.2,985
2008,1,12,20,30,295,-6.7,-3.1,339,3.1,986
2008,1,12,21,30,169,-6.7,-4.1000000000000005,336,2.6,986
2008,1,12,22,30,36,-7.5,-5.7,335,2.3000000000000003,987
2008,1,12,23,30,0,-8.700000000000001,-6.5,334,2.3000000000000003,987
2008,1,13,0,30,0,-9.3,-7.7,335,2.5,987
2008,1,13,1,30,0,-9.600000000000001,-8.3,336,2.5,987
2008,1,13,2,30,0,-9.9,-8.700000000000001,336,2.5,987
2008,1,13,3,30,0,-10.100000000000001,-8.9,335,2.5,987
2008,1,13,4,30,0,-10.4,-9.200000000000001,334,2.5,987
2008,1,13,5,30,0,-10.700000000000001,-9.5,330,2.5,987
2008,1,13,6,30,0,-11.100000000000001,-9.9,327,2.6,987
2008,1,13,7,30,0,-11.600000000000001,-10.3,324,2.7,987
2008,1,13,8,30,0,-12.100000000000001,-10.700000000000001,321,2.8000000000000003,987
2008,1,13,9,30,0,-12.600000000000001,-10.9,319,2.8000000000000003,987
2008,1,13,10,30,0,-13,-11.200000000000001,318,2.7,987
2008,1,13,11,30,0,-13.600000000000001,-11.600000000000001,318,2.5,987
2008,1,13,12,30,0,-14.100000000000001,-11.8,317,2.3000000000000003,987
2008,1,13,13,30,0,-14.5,-11.700000000000001,315,2.1,987
2008,1,13,14,30,37,-14.200000000000001,-10.5,314,2.1,987
2008,1,13,15,30,102,-12.5,-8.6,311,2.3000000000000003,987
2008,1,13,16,30,164,-11,-6.800000000000001,310,2.3000000000000003,987
2008,1,13,17,30,167,-9.5,-5.4,311,2.5,986
2008,1,13,18,30,162,-8.700000000000001,-4.7,314,2.7,986
2008,1,13,19,30,267,-8.200000000000001,-4.4,320,2.9000000000000004,986
2008,1,13,20,30,183,-8,-4.6000000000000005,327,3,986
2008,1,13,21,30,81,-7.800000000000001,-5.5,333,2.7,986
2008,1,13,22,30,27,-8.5,-6.800000000000001,336,2.6,987
2008,1,13,23,30,0,-9.600000000000001,-7.5,337,2.7,987
2008,1,14,0,30,0,-10.3,-9,338,3.3000000000000003,988
2008,1,14,1,30,0,-11.100000000000001,-10,337,3.6,988
2008,1,14,2,30,0,-11.9,-10.5,333,3.8000000000000003,989
2008,1,14,3,30,0,-12.3,-10.600000000000001,328,4.1000000000000005,989
2008,1,14,4,30,0,-12.4,-10.600000000000001,324,4.6000000000000005,989
2008,1,14,5,30,0,-12.700000000000001,-10.9,323,5.2,989
2008,1,14,6,30,0,-13.600000000000001,-11.5,322,5.6000000000000005,990
2008,1,14,7,30,0,-14.8,-12.5,321,5.7,990
2008,1,14,8,30,0,-16.2,-13.700000000000001,320,5.800000000000001,991
2008,1,14,9,30,0,-17.7,-15,318,5.800000000000001,991
2008,1,14,10,30,0,-19.200000000000003,-16,318,5.7,991
